,picture_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_picture_url,host_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,price,guests_included,extra_people,minimum_nights,calendar_updated,city,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
0,https://a1.muscache.com/ac/pictures/67560560/cfe47d69_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2011-08-11,3,96.0,2,"https://a0.muscache.com/ac/users/956883/profile_pic/1318103129/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",3.0,2,81,47.636289038357184,-122.37102519997765,1,0,4.0,1.0,1.0,1.0,4,5.0,61.71090387374462,85.0,2.0,5.0,1.0,4 weeks ago,Seattle,207.0,2011-11-01,2016-01-02,95.0,10.0,9.0,10.0,1,0,0,2.0,4.07
1,https://a0.muscache.com/ac/pictures/14409893/f8e3ed8d_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2013-02-21,4,98.0,2,"https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",6.0,2,81,47.63912312136253,-122.36566646439582,1,0,4.0,1.0,1.0,1.0,4,14.0,40.0,150.0,1.0,0.0,2.0,today,Seattle,43.0,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,2,1,1,6.0,1.48
2,https://a2.muscache.com/ac/pictures/b4324e0f-a41b-4614-85a5-0e58c1983b99.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2014-06-12,3,67.0,2,"https://a1.muscache.com/ac/users/16708587/profile_pic/1428941043/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",2.0,2,81,47.629724131577355,-122.3694831756176,10,0,11.0,4.5,5.0,7.0,4,18.0,300.0,975.0,10.0,25.0,4.0,5 weeks ago,Seattle,20.0,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,2,0,0,2.0,1.15
3,https://a0.muscache.com/ac/pictures/94146944/6302c803_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2013-11-06,0,94.88679817905918,0,"https://a2.muscache.com/ac/users/9851441/profile_pic/1414045273/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1.0,2,81,47.63847320176642,-122.36927912263019,1,0,3.0,1.0,0.0,2.0,4,9.0,61.71090387374462,100.0,1.0,0.0,1.0,6 months ago,Seattle,0.0,,,94.53926206244087,9.556398104265403,9.608915586468543,9.452245414294751,0,0,0,1.0,2.078918834221248
4,https://a1.muscache.com/ac/pictures/6120468/b0a55f2e_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2011-11-29,4,100.0,0,"https://a0.muscache.com/ac/users/1452570/profile_pic/1322552171/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",2.0,2,81,47.63291840276724,-122.37247063402224,10,0,6.0,2.0,3.0,3.0,4,10.0,125.0,450.0,6.0,15.0,1.0,7 weeks ago,Seattle,38.0,2012-07-10,2015-10-24,92.0,9.0,9.0,9.0,2,0,0,1.0,0.89
5,https://a2.muscache.com/ac/pictures/84791950/f83d59ea_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2010-12-25,0,94.88679817905918,0,"https://a2.muscache.com/ac/users/326758/profile_pic/1433658977/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1.0,2,81,47.630525482401936,-122.36617406518856,10,1,2.0,1.0,1.0,1.0,4,6.0,40.0,120.0,1.0,30.0,1.0,2 weeks ago,Seattle,17.0,2015-06-11,2015-09-28,95.0,10.0,10.0,10.0,2,0,0,1.0,2.45
6,https://a2.muscache.com/ac/pictures/26505642/2c3a36d7_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2012-05-30,4,100.0,2,"https://a0.muscache.com/ac/users/2497928/profile_pic/1384021985/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1.0,2,81,47.636605445320065,-122.36851905844937,10,1,2.0,1.0,1.0,1.0,4,8.0,61.71090387374462,80.0,1.0,10.0,3.0,5 weeks ago,Seattle,58.0,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,1,0,0,1.0,2.46
7,https://a2.muscache.com/ac/pictures/83538305/d78f8dbd_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2012-10-30,4,100.0,2,"https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",5.0,2,81,47.640160541214655,-122.37585597885769,5,1,2.0,1.0,1.0,1.0,4,7.0,25.0,60.0,1.0,0.0,2.0,yesterday,Seattle,173.0,2013-01-03,2016-01-01,97.0,10.0,9.0,10.0,2,1,1,5.0,4.73
8,https://a0.muscache.com/ac/pictures/85453284/d627f681_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2012-04-18,0,94.88679817905918,2,"https://a1.muscache.com/ac/users/2166277/profile_pic/1433375991/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1.0,2,81,47.632410299829,-122.35721606914028,1,1,2.0,1.0,1.0,1.0,4,8.0,61.71090387374462,90.0,1.0,0.0,3.0,5 months ago,Seattle,8.0,2015-06-22,2015-08-17,97.0,9.0,10.0,10.0,2,0,0,1.0,1.22
9,https://a2.muscache.com/ac/pictures/33003258/f5cb2139_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2013-02-21,4,98.0,2,"https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",6.0,2,81,47.63749172022628,-122.3668885909212,1,0,4.0,1.0,1.0,1.0,4,14.0,40.0,150.0,1.0,0.0,2.0,today,Seattle,32.0,2014-04-27,2015-12-20,97.0,10.0,10.0,9.0,2,1,1,6.0,1.55
